Estado,Region,RegionN,Qt1,Qt2,Qt3,Qt4,TotalExp,year
TotalMX,Mexico,0,512.5025,578.23366,626.11002,661.25122,2378.0974,2007
Aguascalientes,Centro-norte,3,10.75959,9.79202,11.8701,11.47671,43.89842,2007
Baja California,Norte,1,68.1677,71.87457,82.33045,96.21403,318.58675,2007
Baja California Sur,Norte-occidente,2,0.38426,0.28242,0.40754,0.41575,1.48997,2007
Campeche,Sur,5,56.46622,68.51415,77.378,88.15714,290.51551,2007
Coahuila,Norte,1,34.6569,39.95774,47.2956,52.7861,174.69634,2007
Colima,Centro-norte,3,0.11697,0.2133,0.24624,0.21903,0.79554,2007
Chiapas,Sur,5,1.95508,2.37279,2.34377,2.41087,9.08251,2007
Chihuahua,Norte,1,62.7105,73.31129,72.12263,72.80303,280.94745,2007
Ciudad de Mexico,Centro,4,6.82527,6.63713,7.04805,6.62171,27.13216,2007
Durango,Norte-occidente,2,1.72672,1.93467,2.57582,2.54982,8.78703,2007
Guanajuato,Centro,4,12.73193,16.34064,17.1864,17.99354,64.25251,2007
Guerrero,Sur,5,0.21815,0.28604,0.33312,0.58387,1.42118,2007
Hidalgo,Centro,4,2.71969,2.77738,4.01734,3.49192,13.00633,2007
Jalisco,Centro-norte,3,32.34231,35.39803,40.5806,36.1388,144.45974,2007
Mexico,Centro,4,19.06915,20.67288,22.62213,24.06721,86.43137,2007
Michoacan,Centro-norte,3,1.04113,0.69292,0.64603,1.19282,3.5729,2007
Morelos,Centro,4,4.87183,4.73545,5.49734,5.34461,20.44923,2007
Nayarit,Norte-occidente,2,0.06008,0.07425,0.12664,0.11018,0.37115,2007
Nuevo Leon,Norte,1,45.94881,50.69272,50.48093,50.91231,198.03477,2007
Oaxaca,Sur,5,1.46397,1.50572,1.76006,1.50346,6.23321,2007
Puebla,Centro,4,15.15507,17.969,21.68141,23.00765,77.81313,2007
Queretaro,Centro,4,7.52823,8.76067,8.87394,8.94223,34.10507,2007
Quintana Roo,Sur,5,0.08856,0.10457,0.11974,0.0928,0.40567,2007
San Luis Potosi,Centro-norte,3,11.04292,12.23635,12.01496,12.58845,47.88268,2007
Sinaloa,Norte-occidente,2,0.751,0.80127,0.8401,0.85596,3.24833,2007
Sonora,Norte,1,31.01094,33.02125,33.59478,32.17686,129.80383,2007
Tabasco,Sur,5,16.2926,19.79667,21.92791,24.70877,82.72595,2007
Tamaulipas,Norte,1,47.71448,56.87332,58.63435,61.95215,225.1743,2007
Tlaxcala,Centro,4,1.63682,1.88957,2.02593,1.91012,7.46244,2007
Veracruz ,Sur,5,10.57297,10.79049,10.53885,10.79844,42.70075,2007
Yucatan,Sur,5,2.19738,2.6566,3.18705,3.42446,11.46549,2007
Zacatecas,Norte-occidente,2,4.27526,5.2678,5.80222,5.80042,21.1457,2007
TotalMX,Mexico,0,621.93381,704.78739,701.00001,551.95658,2579.67779,2008
Aguascalientes,Centro-norte,3,9.75433,11.68812,12.8478,10.27868,44.56893,2008
Baja California,Norte,1,72.19128,83.10408,94.39323,80.20054,329.88913,2008
